zebrafish_atp6,gianttrevally_atp6,431
zebrafish_atp8,gianttrevally_nd5,21
zebrafish_co1,gianttrevally_cox1,1479
zebrafish_co2,gianttrevally_cox2,542
zebrafish_co3,gianttrevally_cox3,660
zebrafish_cyb,gianttrevally_cytb,763
zebrafish_nd1,gianttrevally_nd1,535
zebrafish_nd2,gianttrevally_nd2,350
zebrafish_nd3,gianttrevally_nd3,149
zebrafish_nd4,gianttrevally_nd4,773
zebrafish_nd4l,gianttrevally_nd4l,168
zebrafish_nd5,gianttrevally_nd5,739
zebrafish_nd6,gianttrevally_nd6,218
zebrafish_rnr1,gianttrevally_nd4,23
zebrafish_rnr2,gianttrevally_nd4,24
zebrafish_ta,,
zebrafish_tc,,
zebrafish_td,,
zebrafish_te,gianttrevally_atp6,23
zebrafish_tg,,
zebrafish_th,,
zebrafish_ti,,
zebrafish_tk,,
zebrafish_tl1,,
zebrafish_tl2,,
zebrafish_tm,,
zebrafish_tn,gianttrevally_nd2,21
zebrafish_tp,,
zebrafish_tq,,
zebrafish_tr,,
zebrafish_ts1,,
zebrafish_ts2,gianttrevally_nd5,21
zebrafish_tt,,
zebrafish_tv,,
zebrafish_tw,gianttrevally_cox1,23
zebrafish_ty,gianttrevally_nd2,25